pillar,n,collapse_base,collapse_base_ci95,collapse_ctrl,collapse_ctrl_ci95,delta,delta_ci95,RR,RR_ci95,OR,OR_ci95,intervene_rate_primary,runtime_sec_base,runtime_sec_ctrl,delta_runtime_sec
ETH,2000,0.01,"[0.006,0.015]",0.0,"[0.000,0.002]",-0.01,"[-0.015,-0.006]",0.024390243902439025,"[0.017,0.040]",0.024146402423784297,"[0.017,0.040]",0.01,20.385222673892976,20.274409891605377,-0.11081278228759928
HUM,2000,0.142,"[0.127,0.158]",0.0,"[0.000,0.002]",-0.142,"[-0.158,-0.127]",0.0017574692442882249,"[0.002,0.002]",0.001507970986163828,"[0.001,0.002]",0.142,19.64290709066391,20.88087977027893,1.2379726796150194
META,2000,0.106,"[0.093,0.120]",0.006,"[0.003,0.010]",-0.09999999999999999,"[-0.113,-0.087]",0.05822784810126583,"[0.030,0.091]",0.05235523842514036,"[0.027,0.082]",0.106,19.750356323719025,20.467761697769166,0.7174053740501414
STEM,2000,0.302,"[0.282,0.322]",0.004,"[0.002,0.008]",-0.298,"[-0.318,-0.278]",0.013900245298446441,"[0.006,0.024]",0.009693546219418486,"[0.004,0.017]",0.302,19.100842516422272,20.73010648059845,1.6292639641761788
TEMP,2000,0.03,"[0.023,0.038]",0.0,"[0.000,0.002]",-0.03,"[-0.038,-0.023]",0.008264462809917356,"[0.007,0.011]",0.008016590893598914,"[0.006,0.011]",0.03,19.898858380317687,20.014687594413758,0.11582921409607039
