pillar,seed,collapse_rate,intervene_rate
HUM,1,0.008529997156667614,0.018481660506113166
HUM,0,0.008736167734420501,0.017763541059988352
HUM,2,0.008136696501220505,0.01762950908597776
HUM,3,0.008578781812982557,0.018015441807263367
HUM,7,0.008875739644970414,0.01893491124260355
HUM,6,0.009313877677739833,0.019869605712511642
HUM,4,0.008408071748878924,0.01821748878923767
HUM,5,0.008713331397037467,0.01829799593377868
HUM,8,0.008027829810008028,0.016590848274016592
HUM,9,0.00851063829787234,0.017588652482269502
STEM,177,0.0625,0.3541666666666667
STEM,163,0.046875,0.3541666666666667
STEM,188,0.049479166666666664,0.3541666666666667
STEM,375,0.044270833333333336,0.3411458333333333
STEM,413,0.0390625,0.34375
STEM,407,0.059895833333333336,0.3489583333333333
STEM,361,0.0546875,0.3541666666666667
STEM,349,0.041666666666666664,0.3489583333333333
STEM,201,0.0703125,0.3515625
STEM,215,0.08854166666666667,0.3567708333333333
STEM,229,0.046875,0.3463541666666667
STEM,13,0.0703125,0.3619791666666667
STEM,12,0.033854166666666664,0.3463541666666667
STEM,228,0.044270833333333336,0.3489583333333333
STEM,214,0.033854166666666664,0.34375
STEM,200,0.044270833333333336,0.3411458333333333
STEM,348,0.0390625,0.3463541666666667
STEM,406,0.059895833333333336,0.3515625
STEM,360,0.036458333333333336,0.34375
STEM,374,0.0390625,0.3515625
STEM,412,0.07552083333333333,0.3645833333333333
STEM,189,0.0625,0.3515625
STEM,162,0.041666666666666664,0.3411458333333333
STEM,176,0.0546875,0.3515625
STEM,160,0.0546875,0.3489583333333333
STEM,174,0.046875,0.3515625
STEM,148,0.059895833333333336,0.359375
STEM,362,0.044270833333333336,0.3489583333333333
STEM,404,0.036458333333333336,0.3463541666666667
STEM,410,0.026041666666666668,0.3411458333333333
STEM,376,0.046875,0.3515625
STEM,438,0.041666666666666664,0.3619791666666667
STEM,389,0.03125,0.3463541666666667
STEM,216,0.06510416666666667,0.3567708333333333
STEM,202,0.06510416666666667,0.359375
STEM,38,0.0859375,0.3671875
STEM,10,0.0390625,0.3541666666666667
STEM,11,0.0625,0.3515625
STEM,39,0.036458333333333336,0.34375
STEM,203,0.052083333333333336,0.3541666666666667
STEM,217,0.041666666666666664,0.3515625
STEM,388,0.044270833333333336,0.34375
STEM,439,0.057291666666666664,0.3619791666666667
STEM,411,0.057291666666666664,0.34375
STEM,377,0.057291666666666664,0.3515625
STEM,363,0.041666666666666664,0.3463541666666667
STEM,405,0.0390625,0.3619791666666667
STEM,149,0.08072916666666667,0.3515625
STEM,175,0.044270833333333336,0.3515625
STEM,161,0.015625,0.3411458333333333
STEM,159,0.057291666666666664,0.3567708333333333
STEM,165,0.078125,0.3671875
STEM,171,0.046875,0.3489583333333333
STEM,429,0.041666666666666664,0.3541666666666667
STEM,401,0.052083333333333336,0.34375
STEM,367,0.026041666666666668,0.3359375
STEM,373,0.057291666666666664,0.3541666666666667
STEM,415,0.08072916666666667,0.3541666666666667
STEM,398,0.0546875,0.3541666666666667
STEM,213,0.044270833333333336,0.3463541666666667
STEM,207,0.044270833333333336,0.3463541666666667
STEM,15,0.0546875,0.359375
STEM,29,0.0703125,0.3541666666666667
STEM,28,0.033854166666666664,0.3411458333333333
STEM,14,0.028645833333333332,0.3411458333333333
STEM,206,0.03125,0.3463541666666667
STEM,212,0.033854166666666664,0.3541666666666667
STEM,399,0.0390625,0.34375
STEM,372,0.0703125,0.3489583333333333
STEM,414,0.041666666666666664,0.3489583333333333
STEM,400,0.0546875,0.3515625
STEM,366,0.041666666666666664,0.34375
STEM,428,0.0390625,0.34375
STEM,170,0.0546875,0.3411458333333333
STEM,164,0.0390625,0.3463541666666667
