exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-ctrl100,controlled100,ETH,16,gpt2,16,0,NONE,0,NONE,0,1,531,59,0.1111111111111111,219.0,31.875772953033447,0.0
vNEXT-ctrl100,controlled100,ETH,17,gpt2,17,0,NONE,0,NONE,0,1,532,31,0.05827067669172932,113.0,34.14339804649353,17.0
vNEXT-ctrl100,controlled100,ETH,18,gpt2,18,0,NONE,0,NONE,0,1,530,54,0.1018867924528302,76.0,32.75345325469971,39.0
vNEXT-ctrl100,controlled100,ETH,19,gpt2,19,0,NONE,0,NONE,0,1,532,25,0.046992481203007516,185.0,34.563661098480225,0.0
vNEXT-ctrl100,controlled100,ETH,20,gpt2,20,0,NONE,0,NONE,0,1,530,58,0.10943396226415095,76.0,34.461429834365845,33.0
vNEXT-ctrl100,controlled100,ETH,21,gpt2,21,0,NONE,0,NONE,0,1,527,15,0.028462998102466792,204.0,36.57576012611389,0.0
vNEXT-ctrl100,controlled100,ETH,22,gpt2,22,0,NONE,0,NONE,0,1,388,14,0.03608247422680412,117.0,27.639795303344727,12.0
vNEXT-ctrl100,controlled100,ETH,23,gpt2,23,0,NONE,0,NONE,0,1,530,59,0.11132075471698114,182.0,32.75819802284241,1.0
vNEXT-ctrl100,controlled100,ETH,24,gpt2,24,0,NONE,0,NONE,0,1,528,70,0.13257575757575757,163.0,31.213033199310303,0.0
vNEXT-ctrl100,controlled100,ETH,25,gpt2,25,0,NONE,0,NONE,0,1,530,7,0.013207547169811321,376.0,42.10085606575012,0.0
vNEXT-ctrl100,controlled100,ETH,26,gpt2,26,0,NONE,0,NONE,0,1,507,31,0.0611439842209073,140.0,33.516621112823486,12.0
vNEXT-ctrl100,controlled100,ETH,27,gpt2,27,0,NONE,0,NONE,0,0,232,0,0.0,,13.15743613243103,0.0
vNEXT-ctrl100,controlled100,ETH,28,gpt2,28,0,NONE,0,NONE,0,1,531,19,0.035781544256120526,77.0,42.430959939956665,30.0
vNEXT-ctrl100,controlled100,ETH,29,gpt2,29,0,NONE,0,NONE,0,1,441,22,0.049886621315192746,98.0,28.688766956329346,21.0
vNEXT-0.1,baseline,HUM,0,gpt2,0,1,REP,1,REP,0,0,101,0,0.0,,3.0004541873931885,0.0
vNEXT-0.1,baseline,HUM,1,gpt2,1,1,REP,1,REP,0,0,111,0,0.0,,4.4681549072265625,0.0
vNEXT-0.1,baseline,HUM,2,gpt2,2,1,REP,1,REP,0,0,124,0,0.0,,4.790935039520264,0.0
vNEXT-0.1,baseline,HUM,3,gpt2,3,1,REP,1,REP,0,0,86,0,0.0,,2.927140712738037,0.0
vNEXT-0.1,baseline,HUM,4,gpt2,4,1,REP,1,REP,0,0,135,0,0.0,,5.828572988510132,0.0
vNEXT-0.1,baseline,HUM,5,gpt2,5,1,REP,1,REP,0,0,68,0,0.0,,2.166848659515381,0.0
vNEXT-0.1,baseline,HUM,6,gpt2,6,1,TOO_SHORT,1,TOO_SHORT,0,0,33,0,0.0,,0.16310906410217285,0.0
vNEXT-0.1,baseline,HUM,7,gpt2,7,1,REP,1,REP,0,0,198,0,0.0,,10.321690082550049,0.0
vNEXT-0.1,baseline,HUM,8,gpt2,8,1,REP,1,REP,0,0,64,0,0.0,,2.025339126586914,0.0
vNEXT-0.1,baseline,HUM,9,gpt2,9,1,REP,1,REP,0,0,184,0,0.0,,8.982308149337769,0.0
vNEXT-0.1,baseline,HUM,10,gpt2,10,1,TOO_SHORT,1,TOO_SHORT,0,0,54,0,0.0,,1.559648036956787,0.0
vNEXT-0.1,baseline,HUM,11,gpt2,11,1,TOO_SHORT,1,TOO_SHORT,0,0,35,0,0.0,,0.6406300067901611,0.0
vNEXT-0.1,baseline,HUM,12,gpt2,12,1,REP,1,REP,0,0,147,0,0.0,,6.409080743789673,0.0
vNEXT-0.1,baseline,HUM,13,gpt2,13,1,REP,1,REP,0,0,126,0,0.0,,5.9164979457855225,0.0
vNEXT-0.1,baseline,HUM,14,gpt2,14,1,REP,1,REP,0,0,67,0,0.0,,2.74252986907959,0.0
vNEXT-0.1,baseline,HUM,15,gpt2,15,1,REP,1,REP,0,0,91,0,0.0,,3.110621929168701,0.0
vNEXT-0.1,baseline,HUM,16,gpt2,16,1,REP,1,REP,0,0,147,0,0.0,,6.748406887054443,0.0
vNEXT-0.1,baseline,HUM,17,gpt2,17,1,REP,1,REP,0,0,181,0,0.0,,9.625787019729614,0.0
vNEXT-0.1,baseline,HUM,18,gpt2,18,1,REP,1,REP,0,0,192,0,0.0,,10.80034589767456,0.0
vNEXT-0.1,baseline,HUM,19,gpt2,19,1,REP,1,REP,0,0,126,0,0.0,,5.646162033081055,0.0
vNEXT-0.1,baseline,HUM,20,gpt2,20,1,REP,1,REP,0,0,171,0,0.0,,8.535481929779053,0.0
vNEXT-0.1,baseline,HUM,21,gpt2,21,1,REP,1,REP,0,0,109,0,0.0,,4.3080809116363525,0.0
vNEXT-0.1,baseline,HUM,22,gpt2,22,1,REP,1,REP,0,0,73,0,0.0,,2.5768072605133057,0.0
vNEXT-0.1,baseline,HUM,23,gpt2,23,1,REP,1,REP,0,0,131,0,0.0,,5.714622974395752,0.0
vNEXT-0.1,baseline,HUM,24,gpt2,24,1,REP,1,REP,0,0,83,0,0.0,,2.958547353744507,0.0
