exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,controlled,ETH,9,gpt2,9,0,NONE,0,NONE,0,0,NONE,0,NONE,1,527,66,0.1252371916508539,115.0,32.13775825500488,16.0
vNEXT-RE30,controlled,ETH,10,gpt2,10,0,NONE,0,NONE,0,0,NONE,0,NONE,0,289,0,0.0,,19.674317836761475,0.0
vNEXT-RE30,controlled,ETH,11,gpt2,11,0,NONE,0,NONE,0,0,NONE,0,NONE,1,528,58,0.10984848484848485,210.0,32.91759276390076,5.0
vNEXT-RE30,controlled,ETH,12,gpt2,12,0,NONE,0,NONE,0,0,NONE,0,NONE,1,455,33,0.07252747252747253,123.0,28.89742398262024,14.0
vNEXT-RE30,controlled,ETH,13,gpt2,13,0,NONE,0,NONE,0,0,NONE,0,NONE,1,294,11,0.03741496598639456,118.0,17.10674810409546,21.0
vNEXT-RE30,controlled,ETH,14,gpt2,14,0,NONE,0,NONE,0,0,NONE,0,NONE,1,531,43,0.08097928436911488,81.0,36.72353911399841,27.0
vNEXT-RE30,controlled,ETH,15,gpt2,15,0,NONE,0,NONE,0,0,NONE,0,NONE,1,527,21,0.03984819734345351,110.0,45.51152801513672,45.0
vNEXT-RE30,controlled,ETH,16,gpt2,16,0,NONE,0,NONE,0,0,NONE,0,NONE,1,531,80,0.15065913370998116,100.0,31.788490056991577,16.0
vNEXT-RE30,controlled,ETH,17,gpt2,17,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,62,0.11654135338345864,73.0,33.79921197891235,62.0
vNEXT-RE30,controlled,ETH,18,gpt2,18,0,NONE,0,NONE,0,0,NONE,0,NONE,1,88,1,0.011363636363636364,75.0,3.4152941703796387,27.0
vNEXT-RE30,controlled,ETH,19,gpt2,19,1,BUDGET_EXCEEDED,1,REP,1,1,REP,1,BUDGET_EXHAUSTED,1,475,100,0.21052631578947367,94.0,27.072221994400024,38.0
vNEXT-RE30,controlled,ETH,20,gpt2,20,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,20,0.03773584905660377,105.0,41.46514892578125,22.0
vNEXT-RE30,controlled,ETH,21,gpt2,21,0,NONE,0,NONE,0,0,NONE,0,NONE,1,527,43,0.08159392789373814,111.0,39.49471306800842,42.0
vNEXT-RE30,controlled,ETH,22,gpt2,22,0,NONE,0,NONE,0,0,NONE,0,NONE,1,379,7,0.018469656992084433,185.0,24.2833731174469,0.0
vNEXT-RE30,controlled,ETH,23,gpt2,23,0,NONE,0,NONE,0,0,NONE,0,NONE,1,530,67,0.12641509433962264,109.0,32.324126958847046,37.0
vNEXT-RE30,controlled,ETH,24,gpt2,24,0,NONE,0,NONE,0,0,NONE,0,NONE,1,528,53,0.10037878787878787,140.0,31.0087890625,4.0
vNEXT-RE30,controlled,ETH,25,gpt2,25,0,NONE,0,NONE,0,0,NONE,0,NONE,1,244,3,0.012295081967213115,175.0,13.561364889144897,0.0
vNEXT-RE30,controlled,ETH,26,gpt2,26,0,NONE,0,NONE,0,0,NONE,0,NONE,1,526,67,0.12737642585551331,85.0,34.15521311759949,35.0
vNEXT-RE30,controlled,ETH,27,gpt2,27,0,NONE,0,NONE,0,0,NONE,0,NONE,1,528,4,0.007575757575757576,174.0,44.040749073028564,5.0
vNEXT-RE30,controlled,ETH,28,gpt2,28,0,NONE,0,NONE,0,0,NONE,0,NONE,1,531,73,0.1374764595103578,105.0,32.392415046691895,18.0
vNEXT-RE30,controlled,ETH,29,gpt2,29,0,NONE,0,NONE,0,0,NONE,0,NONE,1,531,70,0.1318267419962335,115.0,31.859792709350586,20.0
vNEXT-RE30,baseline,HUM,0,gpt2,0,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,99,0,0.0,,3.1071958541870117,0.0
vNEXT-RE30,baseline,HUM,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,106,0,0.0,,4.142336845397949,0.0
vNEXT-RE30,baseline,HUM,2,gpt2,2,1,REP,1,REP,0,1,REP,0,NONE,0,127,0,0.0,,4.982467174530029,0.0
vNEXT-RE30,baseline,HUM,3,gpt2,3,1,REP,1,REP,0,1,REP,0,NONE,0,110,0,0.0,,4.101980209350586,0.0
vNEXT-RE30,baseline,HUM,4,gpt2,4,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,70,0,0.0,,2.263679027557373,0.0
vNEXT-RE30,baseline,HUM,5,gpt2,5,1,REP,1,REP,0,1,REP,0,NONE,0,142,0,0.0,,6.288189888000488,0.0
vNEXT-RE30,baseline,HUM,6,gpt2,6,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,33,0,0.0,,0.14434218406677246,0.0
vNEXT-RE30,baseline,HUM,7,gpt2,7,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,53,0,0.0,,1.527691125869751,0.0
vNEXT-RE30,baseline,HUM,8,gpt2,8,1,REP,1,REP,0,1,REP,0,NONE,0,113,0,0.0,,4.438009977340698,0.0
vNEXT-RE30,baseline,HUM,9,gpt2,9,1,REP,1,REP,0,1,REP,0,NONE,0,168,0,0.0,,7.777741193771362,0.0
vNEXT-RE30,baseline,HUM,10,gpt2,10,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,84,0,0.0,,2.9275660514831543,0.0
vNEXT-RE30,baseline,HUM,11,gpt2,11,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,55,0,0.0,,1.5119469165802002,0.0
vNEXT-RE30,baseline,HUM,12,gpt2,12,1,REP,1,REP,0,1,REP,0,NONE,0,135,0,0.0,,5.364985942840576,0.0
vNEXT-RE30,baseline,HUM,13,gpt2,13,1,REP,1,REP,0,1,REP,0,NONE,0,99,0,0.0,,3.4619174003601074,0.0
vNEXT-RE30,baseline,HUM,14,gpt2,14,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,52,0,0.0,,1.5610198974609375,0.0
vNEXT-RE30,baseline,HUM,15,gpt2,15,1,REP,1,REP,0,1,REP,0,NONE,0,248,0,0.0,,14.360581159591675,0.0
vNEXT-RE30,baseline,HUM,16,gpt2,16,1,REP,1,REP,0,1,REP,0,NONE,0,85,0,0.0,,3.1352200508117676,0.0
vNEXT-RE30,baseline,HUM,17,gpt2,17,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,77,0,0.0,,2.680238962173462,0.0
vNEXT-RE30,baseline,HUM,18,gpt2,18,1,REP,1,REP,0,1,REP,0,NONE,0,107,0,0.0,,4.320697784423828,0.0
vNEXT-RE30,baseline,HUM,19,gpt2,19,1,REP,1,REP,0,1,REP,0,NONE,0,229,0,0.0,,12.706197023391724,0.0
vNEXT-RE30,baseline,HUM,20,gpt2,20,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,60,0,0.0,,1.984386920928955,0.0
vNEXT-RE30,baseline,HUM,21,gpt2,21,1,REP,1,REP,0,1,REP,0,NONE,0,240,0,0.0,,13.525712013244629,0.0
vNEXT-RE30,baseline,HUM,22,gpt2,22,1,REP,1,REP,0,1,REP,0,NONE,0,123,0,0.0,,5.280388116836548,0.0
vNEXT-RE30,baseline,HUM,23,gpt2,23,1,REP,1,REP,0,1,REP,0,NONE,0,88,0,0.0,,3.183516025543213,0.0
vNEXT-RE30,baseline,HUM,24,gpt2,24,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,81,0,0.0,,2.5991852283477783,0.0
vNEXT-RE30,baseline,HUM,25,gpt2,25,1,REP,1,REP,0,1,REP,0,NONE,0,211,0,0.0,,10.949432134628296,0.0
vNEXT-RE30,baseline,HUM,26,gpt2,26,1,REP,1,REP,0,1,REP,0,NONE,0,161,0,0.0,,7.4249091148376465,0.0
vNEXT-RE30,baseline,HUM,27,gpt2,27,1,REP,1,REP,0,1,REP,0,NONE,0,454,0,0.0,,38.48330307006836,0.0
vNEXT-RE30,baseline,HUM,28,gpt2,28,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,51,0,0.0,,1.4133250713348389,0.0
vNEXT-RE30,baseline,HUM,29,gpt2,29,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,48,0,0.0,,1.3262159824371338,0.0
vNEXT-RE30,controlled,HUM,0,gpt2,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,553,62,0.11211573236889692,99.0,35.931143045425415,19.0
vNEXT-RE30,controlled,HUM,1,gpt2,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,537,94,0.1750465549348231,106.0,32.52908897399902,36.0
vNEXT-RE30,controlled,HUM,2,gpt2,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,541,54,0.09981515711645102,127.0,33.58296012878418,16.0
