exp_id,mode,pillar,seed,seed_source,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,28,meta,gemma:7b,28,1,PI,1,PI,0,1,PI,0,NONE,0,31,0,0.0,,2.519796848297119,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-BASELINE,baseline,STEM,29,meta,gemma:7b,29,1,REP,1,REP,0,1,REP,0,NONE,0,93,0,0.0,,6.164980888366699,0.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,0,meta,gemma:7b,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,70,7,0.1,,19.862289905548096,150.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,1,meta,gemma:7b,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,20,8,0.4,,18.983251333236694,48.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,2,meta,gemma:7b,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,63,11,0.1746031746031746,,19.3788001537323,219.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,3,meta,gemma:7b,3,0,NONE,0,NONE,0,0,NONE,0,NONE,1,27,13,0.48148148148148145,,20.075324773788452,86.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,4,meta,gemma:7b,4,0,NONE,0,NONE,0,0,NONE,0,NONE,1,97,5,0.05154639175257732,,19.36326503753662,130.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,5,meta,gemma:7b,5,0,NONE,0,NONE,0,0,NONE,0,NONE,1,85,6,0.07058823529411765,,18.862614154815674,144.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,6,meta,gemma:7b,6,0,NONE,0,NONE,0,0,NONE,0,NONE,1,39,9,0.23076923076923078,,19.436125993728638,110.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,7,meta,gemma:7b,7,0,NONE,0,NONE,0,0,NONE,0,NONE,1,154,5,0.032467532467532464,,19.0880069732666,188.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,8,meta,gemma:7b,8,0,NONE,0,NONE,0,0,NONE,0,NONE,1,46,8,0.17391304347826086,,19.509328842163086,191.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,9,meta,gemma:7b,9,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,1,2,18,9.0,,21.003170013427734,27.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,10,meta,gemma:7b,10,0,NONE,0,NONE,0,0,NONE,0,NONE,1,49,8,0.16326530612244897,,19.215376138687134,152.0
vNEXT-OLLAMA-30-STEM-STRESS-PROBE-CONTROLLED,controlled,STEM,11,meta,gemma:7b,11,0,NONE,0,NONE,0,0,NONE,0,NONE,1,20,11,0.55,,19.256627321243286,127.0
